Time,X,Y,Vx,Vy,Ax,Ay
6,7.27032,-4.982833,-0.09306,-3.998917,0.2982546,-0.007152557
6.02,7.268459,-5.066736,-0.08765302,-3.999039,0.2703492,-0.006115437
6.04,7.266706,-5.15064,-0.08275496,-3.999144,0.2449028,-0.005233288
6.06,7.265051,-5.234547,-0.07831725,-3.999233,0.2218854,-0.004458427
6.08,7.263485,-5.318456,-0.07429565,-3.99931,0.20108,-0.00385046
6.1,7.261999,-5.402366,0.0250161,-3.999922,4.965588,-0.03056526
6.12,7.262499,-5.486288,0.2158258,-3.994173,9.540484,0.2874255
6.14,7.266816,-5.570096,0.3508571,-3.984583,6.751568,0.4795074
6.16,7.273833,-5.653711,0.5034976,-3.968185,7.632023,0.8199096
6.18,7.283903,-5.736999,0.6948391,-3.939188,9.567073,1.449847
6.2,7.2978,-5.819707,0.7856215,-3.922091,4.539123,0.854826
6.22,7.313512,-5.902073,0.9393811,-3.888131,7.687977,1.698005
6.24,7.332299,-5.983759,1.02005,-3.867751,4.033425,1.018989
6.26,7.3527,-6.065038,1.055215,-3.858305,1.75826,0.4723072
6.28,7.373805,-6.146128,1.160149,-3.828062,5.246693,1.512182
6.3,7.397007,-6.226614,1.337138,-3.769889,8.849454,2.908623
6.32,7.42375,-6.305935,1.474907,-3.718151,6.888473,2.586889
6.34,7.453249,-6.384223,1.885426,-3.527771,20.52592,9.518993
6.36,7.490957,-6.458702,2.506506,-3.117279,31.05402,20.52462
6.38,7.541087,-6.524971,2.842655,-2.814127,16.80747,15.1576
6.4,7.59794,-6.585178,3.495097,-1.945328,32.62206,43.43997
6.42,7.667842,-6.628008,3.90542,-0.8646935,20.51617,54.03171
6.44,7.74595,-6.649226,3.984601,-0.3506449,3.95906,25.70243
6.46,7.825642,-6.660163,3.999902,-0.02801488,0.7650375,16.1315
6.48,7.90564,-6.664647,3.977537,0.4233168,-1.118231,22.56658
6.5,7.985191,-6.660105,3.982559,0.3731286,0.2510667,-2.509409
6.52,8.064842,-6.656566,3.945061,0.6606735,-1.874864,14.37725
6.54,8.143744,-6.647277,3.933169,0.7281382,-0.5946398,3.373235
6.56,8.222407,-6.636638,3.939511,0.6930009,0.3171325,-1.756868
6.58,8.301198,-6.626702,3.944646,0.6631506,0.2567291,-1.492512
6.6,8.380091,-6.617363,3.951838,0.6188486,0.3596306,-2.215099
6.62,8.459127,-6.608911,3.960652,0.5596745,0.4406691,-2.958706
6.64,8.538341,-6.601641,3.967612,0.5079948,0.3479838,-2.583984
6.66,8.617693,-6.595405,3.975736,0.439908,0.4062414,-3.404343
6.68,8.697207,-6.590531,3.982295,0.3759304,0.3279448,-3.198877
6.7,8.776854,-6.586936,3.9875,0.3159782,0.2602458,-2.99761
6.72,8.856604,-6.584541,3.991545,0.2599401,0.2022505,-2.801906
6.74,8.936435,-6.583266,3.994605,0.2076835,0.1529932,-2.612828
6.76,9.016327,-6.583036,3.996836,0.1590593,0.1115561,-2.431212
6.78,9.096264,-6.583779,3.998396,0.1132689,0.07799864,-2.289519
6.8,9.176231,-6.585438,3.999358,0.07167407,0.04808903,-2.079744
6.82,9.256219,-6.587928,3.999212,-0.07940798,-0.007307529,-7.554102
